flux,sink_iso,sink_country,target_iso,target_country,forest_ha,flow_per_ha_mean,flow_per_ha_q17,flow_per_ha_q83
Fab_tf,ZMB,Zambia,NZL,New Zealand,44814030.0,0.004287094854242725,-0.05167832481789885,0.049666542085989834
Fab_tf,ZMB,Zambia,OMN,Oman,44814030.0,0.3472978764581451,-0.07122090284473803,0.8415408716478221
Fab_tf,ZMB,Zambia,PAK,Pakistan,44814030.0,5.252677372372874,-1.1107819176028653,12.60894390247302
Fab_tf,ZMB,Zambia,PAN,Panama,44814030.0,0.21664998705128846,-0.047608511587754254,0.5119777289562596
Fab_tf,ZMB,Zambia,PER,Peru,44814030.0,0.43415302449199905,-0.15228032387443047,1.0371548915787203
Fab_tf,ZMB,Zambia,PHL,Philippines,44814030.0,2.39405260646298,-0.5455982106082672,5.820048681485002
Fab_tf,ZMB,Zambia,PNG,Papua New Guinea,44814030.0,0.15230903760442632,-0.03387983469313899,0.35209653277504105
Fab_tf,ZMB,Zambia,PRT,Portugal,44814030.0,0.11417101528119349,-0.04342528749311926,0.29554309251216926
Fab_tf,ZMB,Zambia,PRY,Paraguay,44814030.0,0.20354298585863817,-0.0535754854023381,0.45587400924482757
Fab_tf,ZMB,Zambia,QAT,Qatar,44814030.0,0.6621605738652088,-0.12571015017060447,1.6436364350255355
Fab_tf,ZMB,Zambia,RWA,Rwanda,44814030.0,0.23545565320212797,-0.051865771081260816,0.5586092351478839
Fab_tf,ZMB,Zambia,SAU,Saudi Arabia,44814030.0,3.305164974788298,-0.6657169651435282,8.22480342767839
Fab_tf,ZMB,Zambia,SDN,Sudan,44814030.0,2.2890181368940037,-0.49732557812708006,5.429029452622594
Fab_tf,ZMB,Zambia,SEN,Senegal,44814030.0,0.42389304437963776,-0.08984489750089301,1.026547394942332
Fab_tf,ZMB,Zambia,SLB,Solomon Islands,44814030.0,0.013865170829187371,-0.0031768354459893846,0.03219402662836876
Fab_tf,ZMB,Zambia,SLE,Sierra Leone,44814030.0,0.14076891769170763,-0.03129824215123217,0.3330896548049292
Fab_tf,ZMB,Zambia,SLV,El Salvador,44814030.0,0.09421999824360325,-0.020385741166271378,0.23063831887594244
Fab_tf,ZMB,Zambia,SOM,Somaliland,44814030.0,0.020007767708367666,-0.0044662900106739725,0.047020145494163064
Fab_tf,ZMB,Zambia,STP,São Tomé and Principe,44814030.0,0.005227838528059586,-0.0011128655805573704,0.012769653465472151
Fab_tf,ZMB,Zambia,SUR,Suriname,44814030.0,0.021595006375665634,-0.004625630558124626,0.05190039298107409
Fab_tf,ZMB,Zambia,SWZ,eSwatini,44814030.0,0.019478320814733614,-0.00426966152452367,0.0455692542252588
Fab_tf,ZMB,Zambia,SYR,Syria,44814030.0,0.5875635866576593,-0.14151705629816383,1.431530207790291
Fab_tf,ZMB,Zambia,TCD,Chad,44814030.0,0.5183326432552658,-0.11278499894010831,1.2270229012491156
Fab_tf,ZMB,Zambia,TGO,Togo,44814030.0,0.13588165082532783,-0.028612047964416576,0.3215711140827434
Fab_tf,ZMB,Zambia,THA,Thailand,44814030.0,2.770947167980736,-0.6139586369900134,6.492273163128211
Fab_tf,ZMB,Zambia,TJK,Tajikistan,44814030.0,0.01601429425848261,-0.02788306850667539,0.061842067602315205
Fab_tf,ZMB,Zambia,TKM,Turkmenistan,44814030.0,0.1111836741318456,-0.03492713227805359,0.26833427588148073
Fab_tf,ZMB,Zambia,TTO,Trinidad and Tobago,44814030.0,0.04381008828442979,-0.009023716541559196,0.10400312086397247
Fab_tf,ZMB,Zambia,TUN,Tunisia,44814030.0,0.2840498871396347,-0.05756464299691335,0.6770827731384851
Fab_tf,ZMB,Zambia,TUR,Turkey,44814030.0,0.46819932172099255,-0.6239935161886935,1.532052815673864
Fab_tf,ZMB,Zambia,TZA,United Republic of Tanzania,44814030.0,1.4876639000789638,-0.30934606179866064,3.5254779704267714
Fab_tf,ZMB,Zambia,UGA,Uganda,44814030.0,1.5391972609787026,-0.3302159813865143,3.6576309809842145
Fab_tf,ZMB,Zambia,URY,Uruguay,44814030.0,0.03962865564409471,-0.010414716412771375,0.09849573710317751
Fab_tf,ZMB,Zambia,USA,United States of America,44814030.0,6.004449715339391,-3.776155148662535,16.245551900361516
Fab_tf,ZMB,Zambia,UZB,Uzbekistan,44814030.0,0.20330423166386255,-0.0838649375826341,0.5086953194275063
Fab_tf,ZMB,Zambia,VCT,Saint Vincent and the Grenadines,44814030.0,0.0021200717641798334,-0.00043948034990142664,0.0051169911363209515
Fab_tf,ZMB,Zambia,VEN,Venezuela,44814030.0,1.249540156668585,-0.2768602618209663,3.0722137316380356
Fab_tf,ZMB,Zambia,VNM,Vietnam,44814030.0,1.6480195767479826,-0.34745083778028635,3.932975449357273
Fab_tf,ZMB,Zambia,VUT,Vanuatu,44814030.0,0.004547610152043364,-0.0011710476582423306,0.011247277016239633
Fab_tf,ZMB,Zambia,WSM,Samoa,44814030.0,0.0017878677254484043,-0.00042079700624063745,0.004110334498043861
Fab_tf,ZMB,Zambia,YEM,Yemen,44814030.0,0.6110427668502186,-0.13439938674391988,1.4594642100479502
Fab_tf,ZMB,Zambia,ZAF,South Africa,44814030.0,1.0382292334864238,-0.25353028980070164,2.431605975387592
Fab_tf,ZMB,Zambia,ZMB,Zambia,44814030.0,0.5854275211430665,-0.12375496742058549,1.408636777564551
Fab_tf,ZMB,Zambia,ZWE,Zimbabwe,44814030.0,0.09491967556289742,-0.02114560198565345,0.22888573658727426
Fabc_tf,AGO,Angola,AFG,Afghanistan,66607380.00000001,0.22851833658777757,-0.24155812665121337,0.716336980280818
Fabc_tf,AGO,Angola,AGO,Angola,66607380.00000001,0.5616165768331759,-0.1651321963588594,1.3389125419842303
Fabc_tf,AGO,Angola,ALB,Albania,66607380.00000001,0.013592236447691333,-0.010946762736283689,0.03756449197854582
Fabc_tf,AGO,Angola,ARE,United Arab Emirates,66607380.00000001,1.4934068122125108,-0.4130616716119289,3.9961613020941007
Fabc_tf,AGO,Angola,ARG,Argentina,66607380.00000001,0.7538386275095946,-0.2702199864583517,1.8522656517660043
Fabc_tf,AGO,Angola,AUS,Australia,66607380.00000001,0.5946732389242112,-0.4167167271987542,1.661924302795175
Fabc_tf,AGO,Angola,AZE,Azerbaijan,66607380.00000001,0.03026496266852584,-0.044563723783657014,0.10450486401620793
Fabc_tf,AGO,Angola,BDI,Burundi,66607380.00000001,0.12223283737795343,-0.038381044900887694,0.2977378353080387
Fabc_tf,AGO,Angola,BEN,Benin,66607380.00000001,0.25517277439510955,-0.06937053484866935,0.6184573411476589
Fabc_tf,AGO,Angola,BFA,Burkina Faso,66607380.00000001,0.7804853572384937,-0.2293437192770773,1.9768184410119207
Fabc_tf,AGO,Angola,BGD,Bangladesh,66607380.00000001,1.9574767546194993,-0.5697987978224274,4.852870019332279
Fabc_tf,AGO,Angola,BHS,The Bahamas,66607380.00000001,0.015359652592596628,-0.004086500057999761,0.037952838480503404
Fabc_tf,AGO,Angola,BLZ,Belize,66607380.00000001,0.00885617669345319,-0.0024130404464485725,0.02239529782709078
Fabc_tf,AGO,Angola,BOL,Bolivia,66607380.00000001,0.24962852591319415,-0.08057789580160377,0.6061437357694414
Fabc_tf,AGO,Angola,BRA,Brazil,66607380.00000001,4.4808176910438045,-1.273958708679797,10.834351251386806
Fabc_tf,AGO,Angola,BRN,Brunei,66607380.00000001,0.044370809711627476,-0.013568262548007635,0.11082246588784007
Fabc_tf,AGO,Angola,BTN,Bhutan,66607380.00000001,0.027815989012420543,-0.011364905531244881,0.0695823622297557
Fabc_tf,AGO,Angola,BWA,Botswana,66607380.00000001,0.09706963164308638,-0.03197706620564964,0.25105496761696666
Fabc_tf,AGO,Angola,CAF,Central African Republic,66607380.00000001,0.06653358385369304,-0.01925222134784013,0.1667902170394881
Fabc_tf,AGO,Angola,CHN,China,66607380.00000001,11.836324599870785,-9.109352646057987,32.25336399421143
Fabc_tf,AGO,Angola,CIV,Ivory Coast,66607380.00000001,0.792292701902508,-0.22051380946073013,1.9379554151972853
Fabc_tf,AGO,Angola,CMR,Cameroon,66607380.00000001,0.5371380310441427,-0.14771911725546433,1.308689289360102
